monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
223 LA CB,1976-07-12,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-07-12,epi,,DIC,as Total CO2,60,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-12,epi,,DIC,as Total CO2,60,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-12,epi,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-12,epi,,DOC,as C,346,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-12,epi,,NA,as Na,0.85,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-12,epi,,NA,as Na,0.85,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-12,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-07-12,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-07-12,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-07-12,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-07-12,epi,,PH,,6.8,SU,#N/A,,pH Meter
223 LA CB,1976-07-12,epi,,PH,,6.79,SU,#N/A,,pH Meter
223 LA CB,1976-07-12,epi,,TDN,as N,226,ug/L,5,,Photocombustion
223 LA CB,1976-07-12,epi,,TDN,as N,204,ug/L,5,,Photocombustion
223 LA CB,1976-07-12,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-07-12,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-07-26,epi,,CA,as Ca,2.95,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-26,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-07-26,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-07-26,epi,,DIC,as Total CO2,56,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-26,epi,,DOC,as C,340,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-07-26,epi,,NA,as Na,0.91,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-26,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-07-26,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-07-26,epi,,PH,,6.51,SU,#N/A,,pH Meter
223 LA CB,1976-07-26,epi,,TDN,as N,230,ug/L,5,,Photocombustion
223 LA CB,1976-07-26,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-08-09,epi,,CA,as Ca,2.31,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-09,epi,,CA,as Ca,2.42,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-09,epi,,CHLA,,1.4,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-08-09,epi,,CHLA,,1.2,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-08-09,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-08-09,epi,,COND,,26,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-08-09,epi,,DIC,as Total CO2,52,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-09,epi,,DIC,as Total CO2,54,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-09,epi,,DOC,as C,354,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-09,epi,,DOC,as C,328,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-09,epi,,NA,as Na,0.92,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-09,epi,,NA,as Na,0.94,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-09,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-08-09,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-08-09,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-08-09,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-08-09,epi,,PH,,6.52,SU,#N/A,,pH Meter
223 LA CB,1976-08-09,epi,,PH,,6.5,SU,#N/A,,pH Meter
223 LA CB,1976-08-09,epi,,TDN,as N,216,ug/L,5,,Photocombustion
223 LA CB,1976-08-09,epi,,TDN,as N,240,ug/L,5,,Photocombustion
223 LA CB,1976-08-09,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1976-08-09,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-08-23,epi,,CA,as Ca,2.23,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-23,epi,,CHLA,,1.4,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-08-23,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-08-23,epi,,DIC,as Total CO2,38,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-23,epi,,DOC,as C,422,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-08-23,epi,,NA,as Na,0.34,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-08-23,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-08-23,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-08-23,epi,,PH,,6.65,SU,#N/A,,pH Meter
223 LA CB,1976-08-23,epi,,TDN,as N,270,ug/L,5,,Photocombustion
223 LA CB,1976-08-23,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-09-06,epi,,CA,as Ca,2.34,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-06,epi,,CA,as Ca,2.18,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-06,epi,,CHLA,,2.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-09-06,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-09-06,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-09-06,epi,,DIC,as Total CO2,54,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-06,epi,,DIC,as Total CO2,54,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-06,epi,,DOC,as C,455,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-06,epi,,DOC,as C,450,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-06,epi,,NA,as Na,0.94,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-06,epi,,NA,as Na,0.94,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-06,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-09-06,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-09-06,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-09-06,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-09-06,epi,,PH,,6.61,SU,#N/A,,pH Meter
223 LA CB,1976-09-06,epi,,PH,,6.63,SU,#N/A,,pH Meter
223 LA CB,1976-09-06,epi,,TDN,as N,264,ug/L,5,,Photocombustion
223 LA CB,1976-09-06,epi,,TDN,as N,286,ug/L,5,,Photocombustion
223 LA CB,1976-09-06,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-09-06,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-09-20,epi,,CA,as Ca,2.47,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-20,epi,,CHLA,,2.5,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-09-20,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-09-20,epi,,DIC,as Total CO2,46,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-20,epi,,DOC,as C,385,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-09-20,epi,,NA,as Na,1.11,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-09-20,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-09-20,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-09-20,epi,,PH,,6.41,SU,#N/A,,pH Meter
223 LA CB,1976-09-20,epi,,TDN,as N,225,ug/L,5,,Photocombustion
223 LA CB,1976-09-20,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-10-04,epi,,CA,as Ca,2.31,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-04,epi,,CA,as Ca,2.21,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-04,epi,,CHLA,,3.3,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-10-04,epi,,CHLA,,3.3,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-10-04,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-10-04,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-10-04,epi,,DIC,as Total CO2,62,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-04,epi,,DIC,as Total CO2,59,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-04,epi,,DOC,as C,365,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-04,epi,,DOC,as C,365,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-04,epi,,NA,as Na,0.88,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-04,epi,,NA,as Na,0.87,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-04,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-10-04,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-10-04,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-10-04,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-10-04,epi,,PH,,6.42,SU,#N/A,,pH Meter
223 LA CB,1976-10-04,epi,,PH,,6.46,SU,#N/A,,pH Meter
223 LA CB,1976-10-04,epi,,TDN,as N,220,ug/L,5,,Photocombustion
223 LA CB,1976-10-04,epi,,TDN,as N,220,ug/L,5,,Photocombustion
223 LA CB,1976-10-04,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-10-04,epi,,TDP,as P,1,ug/L,1,,Photocombustion
223 LA CB,1976-10-18,epi,,CA,as Ca,2.68,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-18,epi,,CHLA,,5.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-10-18,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-10-18,epi,,DIC,as Total CO2,64,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-18,epi,,DOC,as C,370,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-10-18,epi,,NA,as Na,0.97,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-10-18,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-10-18,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1976-10-18,epi,,PH,,6.36,SU,#N/A,,pH Meter
223 LA CB,1976-10-18,epi,,TDN,as N,234,ug/L,5,,Photocombustion
223 LA CB,1976-10-18,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-12-14,epi,,CA,as Ca,3.22,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-12-14,epi,,CHLA,,5,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-12-14,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-12-14,epi,,DIC,as Total CO2,35,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-12-14,epi,,DOC,as C,385,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-12-14,epi,,NA,as Na,1.04,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-12-14,epi,,NO3,as NO3-N,5,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-12-14,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-12-14,epi,,PH,,6.49,SU,#N/A,,pH Meter
223 LA CB,1976-12-14,epi,,TDN,as N,268,ug/L,5,,Photocombustion
223 LA CB,1976-12-14,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-01-27,epi,,CA,as Ca,3.06,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-01-27,epi,,CHLA,,5.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-01-27,epi,,COND,,30,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-01-27,epi,,DIC,as Total CO2,65,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-01-27,epi,,DOC,as C,425,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-01-27,epi,,NA,as Na,1.03,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-01-27,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-01-27,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-01-27,epi,,PH,,6.4,SU,#N/A,,pH Meter
223 LA CB,1977-01-27,epi,,TDN,as N,223,ug/L,5,,Photocombustion
223 LA CB,1977-01-27,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-03-02,epi,,CA,as Ca,2.86,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-03-02,epi,,CHLA,,4.3,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-03-02,epi,,COND,,30,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-03-02,epi,,DIC,as Total CO2,70,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-03-02,epi,,DOC,as C,395,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-03-02,epi,,NA,as Na,1.03,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-03-02,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-03-02,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-03-02,epi,,PH,,6.3,SU,#N/A,,pH Meter
223 LA CB,1977-03-02,epi,,TDN,as N,265,ug/L,5,,Photocombustion
223 LA CB,1977-03-02,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-03-30,epi,,CA,as Ca,3.09,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-03-30,epi,,CHLA,,0.3,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-03-30,epi,,COND,,31,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-03-30,epi,,DIC,as Total CO2,61,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-03-30,epi,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-03-30,epi,,NA,as Na,1.04,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-03-30,epi,,NO3,as NO3-N,25,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-03-30,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-03-30,epi,,PH,,6.61,SU,#N/A,,pH Meter
223 LA CB,1977-03-30,epi,,TDN,as N,300,ug/L,5,,Photocombustion
223 LA CB,1977-03-30,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1977-05-02,epi,,CA,as Ca,2.78,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-05-02,epi,,CHLA,,4.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-05-02,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-05-02,epi,,DIC,as Total CO2,71,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-05-02,epi,,DOC,as C,325,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-05-02,epi,,NA,as Na,0.94,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-05-02,epi,,NO3,as NO3-N,25,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-05-02,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
223 LA CB,1977-05-02,epi,,PH,,6.68,SU,#N/A,,pH Meter
223 LA CB,1977-05-02,epi,,TDN,as N,265,ug/L,5,,Photocombustion
223 LA CB,1977-05-02,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-05-16,epi,,CHLA,,2.4,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-05-16,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-05-16,epi,,DIC,as Total CO2,32,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-05-16,epi,,PH,,6.37,SU,#N/A,,pH Meter
223 LA CB,1977-05-30,epi,,CA,as Ca,2.52,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-05-30,epi,,CHLA,,0.5,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-05-30,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-05-30,epi,,DIC,as Total CO2,28,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-05-30,epi,,DOC,as C,380,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-05-30,epi,,NA,as Na,0.91,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-05-30,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-05-30,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1977-05-30,epi,,PH,,6.04,SU,#N/A,,pH Meter
223 LA CB,1977-05-30,epi,,TDN,as N,280,ug/L,5,,Photocombustion
223 LA CB,1977-05-30,epi,,TDP,as P,6,ug/L,1,,Photocombustion
223 LA CB,1977-06-13,epi,,DOC,as C,430,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-06-13,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-06-13,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-06-13,epi,,TDN,as N,165,ug/L,5,,Photocombustion
223 LA CB,1977-06-13,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1977-06-27,epi,,CA,as Ca,2.11,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-06-27,epi,,CHLA,,1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-06-27,epi,,COND,,29,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-06-27,epi,,DIC,as Total CO2,25,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-06-27,epi,,DOC,as C,495,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-06-27,epi,,NA,as Na,0.96,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-06-27,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-06-27,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-06-27,epi,,PH,,5.8,SU,#N/A,,pH Meter
223 LA CB,1977-06-27,epi,,TDN,as N,190,ug/L,5,,Photocombustion
223 LA CB,1977-06-27,epi,,TDP,as P,5,ug/L,1,,Photocombustion
223 LA CB,1977-07-11,epi,,CA,as Ca,2.24,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-07-11,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-07-11,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-07-11,epi,,DIC,as Total CO2,25,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-07-11,epi,,DOC,as C,400,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-07-11,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-07-11,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-07-11,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-07-11,epi,,PH,,6.5,SU,#N/A,,pH Meter
223 LA CB,1977-07-11,epi,,TDN,as N,175,ug/L,5,,Photocombustion
223 LA CB,1977-07-11,epi,,TDP,as P,5,ug/L,1,,Photocombustion
223 LA CB,1977-07-25,epi,,CA,as Ca,2.46,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-07-25,epi,,CHLA,,1.2,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-07-25,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-07-25,epi,,DIC,as Total CO2,27,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-07-25,epi,,DOC,as C,465,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-07-25,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-07-25,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-07-25,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1977-07-25,epi,,PH,,6.22,SU,#N/A,,pH Meter
223 LA CB,1977-07-25,epi,,TDN,as N,185,ug/L,5,,Photocombustion
223 LA CB,1977-07-25,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-08-08,epi,,CA,as Ca,2.51,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-08-08,epi,,CHLA,,1.6,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-08-08,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-08-08,epi,,DIC,as Total CO2,17,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-08-08,epi,,DOC,as C,350,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-08-08,epi,,NA,as Na,1.02,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-08-08,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-08-08,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1977-08-08,epi,,PH,,6.38,SU,#N/A,,pH Meter
223 LA CB,1977-08-08,epi,,TDN,as N,220,ug/L,5,,Photocombustion
223 LA CB,1977-08-08,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1977-08-22,epi,,CA,as Ca,2.79,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-08-22,epi,,CHLA,,1.7,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-08-22,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-08-22,epi,,DIC,as Total CO2,29,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-08-22,epi,,DOC,as C,315,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-08-22,epi,,NA,as Na,0.96,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-08-22,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-08-22,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1977-08-22,epi,,PH,,6.2,SU,#N/A,,pH Meter
223 LA CB,1977-08-22,epi,,TDN,as N,165,ug/L,5,,Photocombustion
223 LA CB,1977-08-22,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-09-05,epi,,CA,as Ca,2.38,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-09-05,epi,,CHLA,,3.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-09-05,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-09-05,epi,,DIC,as Total CO2,22,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-09-05,epi,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-09-05,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-09-05,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-09-05,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1977-09-05,epi,,PH,,6.21,SU,#N/A,,pH Meter
223 LA CB,1977-09-05,epi,,TDN,as N,195,ug/L,5,,Photocombustion
223 LA CB,1977-09-05,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-09-19,epi,,CA,as Ca,2.43,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-09-19,epi,,CHLA,,3.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-09-19,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-09-19,epi,,DIC,as Total CO2,34,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-09-19,epi,,DOC,as C,350,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-09-19,epi,,NA,as Na,0.96,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-09-19,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-09-19,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1977-09-19,epi,,PH,,5.99,SU,#N/A,,pH Meter
223 LA CB,1977-09-19,epi,,TDN,as N,170,ug/L,5,,Photocombustion
223 LA CB,1977-09-19,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-10-03,epi,,CA,as Ca,2.63,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-10-03,epi,,CHLA,,4.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-10-03,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-10-03,epi,,DIC,as Total CO2,35,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-10-03,epi,,DOC,as C,300,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-10-03,epi,,NA,as Na,1.66,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-10-03,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-10-03,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1977-10-03,epi,,PH,,6.19,SU,#N/A,,pH Meter
223 LA CB,1977-10-03,epi,,TDN,as N,150,ug/L,5,,Photocombustion
223 LA CB,1977-10-03,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1977-10-17,epi,,CA,as Ca,2.68,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-10-17,epi,,CHLA,,5.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1977-10-17,epi,,COND,,29,uS/cm,1,,Radiometer CDM 3
223 LA CB,1977-10-17,epi,,DIC,as Total CO2,58,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-10-17,epi,,DOC,as C,315,umol/L,10,,Automated conductimetric technique
223 LA CB,1977-10-17,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1977-10-17,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1977-10-17,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
223 LA CB,1977-10-17,epi,,PH,,6.14,SU,#N/A,,pH Meter
223 LA CB,1977-10-17,epi,,TDN,as N,205,ug/L,5,,Photocombustion
223 LA CB,1977-10-17,epi,,TDP,as P,2,ug/L,1,,Photocombustion
